SECCIÓN,COMPONENTE,QUÉ ES / QUÉ HACE,POR QUÉ EXISTE / DECISIÓN TÉCNICA,ESTADO,ARCHIVO / UBICACIÓN
api/inference.py,"_T1_DISPATCH y _T2_DISPATCH","Diccionarios que mapean model_id (string) → función: {'commercial-api-gemini-task1': _gemini_t1, 'encoder-scibeto-task1': _encoder_t1, 'openweight-task1': _ollama_t1}.","Para agregar un modelo nuevo: añadir una entrada al diccionario. main.py no cambia. La interfaz de Sergio no cambia. El dispatch es el punto de extensión del sistema.",Completado,api/inference.py líneas 247-257
api/model_loader.py,Carga lazy con registry,"_registry = {} (dict vacío al arrancar). Cuando se llama get_task1_encoder(): si la clave ya está en el dict → devuelve lo que está en memoria. Si no está → carga desde disco con AutoModelForSequenceClassification.from_pretrained() → guarda en _registry.","Un encoder pesa ~400-500MB. Cargarlo toma ~2-3 segundos. Sin el registry, cada request lo recargaría desde disco. Con el registry: solo la primera llamada paga ese costo.",Completado (pendiente: poner artefactos en models/),api/model_loader.py
demo/backend_production.py,Proxy HTTP,"Implementa analyze_document() y compare_task2_models() con la misma firma que el mock de Sergio. Por dentro: requests.post(f'{BACKEND_URL}/analyze', json={...}). El resultado es el JSON del FastAPI.","La firma idéntica al mock es lo que hace posible el cp sin reescribir app.py. Para Sergio es transparente — su código llama analyze_document() y recibe el JSON de siempre.",Completado,demo/backend_production.py
docker/Dockerfile,"Imagen del contenedor","FROM python:3.11-slim (imagen base ligera). COPY api/requirements.txt → RUN pip install (ANTES del COPY del código, para usar cache de Docker). COPY api/ ./api/. RUN mkdir models/. EXPOSE 8000. CMD uvicorn api.main:app.","El orden COPY requirements → pip install → COPY código es intencional: si solo cambias código sin cambiar dependencias, Docker reutiliza la capa del pip install del cache. El rebuild toma segundos, no minutos.",Completado,docker/Dockerfile
docker/docker-compose.yml,"Orquestación de contenedores","Servicio 'api': construye la imagen, puerto 8000, lee variables de .env, monta ../models como volumen. Servicio 'demo': imagen python:3.11-slim, copia backend_production.py sobre mock_backend.py, corre streamlit, depende de 'api'.","Los modelos NO se hornean en la imagen (volumen externo) porque pesan 1-2GB — reconstruir la imagen por cada cambio de modelo sería inviable. El cp del backend_production ocurre automáticamente al levantar demo.",Completado,docker/docker-compose.yml
,,,,,
═══ 8. PRÓXIMOS PASOS — BLOQUEANTES PARA EL DESPLIEGUE REAL ═══,,,,,
Paso 1,Entrenar y elegir el mejor encoder T1,"Correr los notebooks de entrenamiento con el Dataset_consolidado_v3_LIM2000.csv. Comparar métricas (F1 macro por etiqueta) entre BETO, SciBETO, RoBERTa-es, mBERT. El ganador se exporta en formato HuggingFace.","La rúbrica pide al menos un encoder ajustado (fine-tuned) como modelo de producción para comparar con el LLM comercial. Sin el artefacto, el slot encoder en el demostrador no funciona.",PENDIENTE — decisión del equipo,models/task1_encoder/
Paso 2,Entrenar y elegir el mejor encoder T2,"Mismo proceso para T2: fine-tuning de BETO/SciBETO en consolidado_tarea_2.csv. Incluir pos_rel como feature. El ganador va a models/task2_encoder/.","Mismo argumento que T1. El encoder T2 es más crítico porque la clase CONTR está desbalanceada — el LLM puede ser más estable en zero-shot, pero el encoder entrenado debería ser más rápido en producción.",PENDIENTE — decisión del equipo,models/task2_encoder/
Paso 3,Ejecutar notebook A7 (Gemini T2),"Abrir 06_task2_gemini_classifier.ipynb en Colab. Apuntar a consolidado_tarea_2.csv en Drive. Ejecutar. Guardar resultados en Drive en results_a7_task2_gemini/.","Necesitamos las métricas de Gemini en T2 para el análisis comparativo A8 (costo-beneficio entre modelos). Sin esta corrida no hay baseline LLM para T2.",PENDIENTE — listo para ejecutar,notebooks/06_task2_gemini_classifier.ipynb
Paso 4,Decidir el modelo open-weight,"Opciones: (a) Ollama local (LLaMA 3 / Mistral), (b) Groq API (ya usado en el proyecto, gratis, llama3-8b-8192), (c) HuggingFace Inference API. Elegir y llenar OLLAMA_MODEL_T1 / OLLAMA_MODEL_T2 en .env — o adaptar inference.py para Groq.","La rúbrica exige comparar al menos tres familias de modelos: LLM comercial, encoder fine-tuned, y open-weight. El slot open-weight existe pero apunta a Ollama. Si se elige Groq, son 10 líneas de cambio en inference.py.",PENDIENTE — decisión de arquitectura,.env + api/inference.py
Paso 5,Poner los artefactos en su lugar,"cp -r ruta/al/mejor_modelo_t1/ models/task1_encoder/ && cp -r ruta/al/mejor_modelo_t2/ models/task2_encoder/. Los artefactos son: config.json + model.safetensors + tokenizer.json + tokenizer_config.json + vocab.txt.","El model_loader.py ya sabe dónde buscarlos (models/task1_encoder/). En cuanto los archivos estén ahí, el endpoint encoder del demostrador funciona. Cero cambios de código.",PENDIENTE — después de Paso 1 y 2,models/
Paso 6,Hacer el switch y probar localmente,"(1) cp .env.example .env && llenar GOOGLE_API_KEY. (2) pip install -r api/requirements.txt. (3) uvicorn api.main:app --reload. (4) export BACKEND_URL=http://localhost:8000. (5) cp demo/backend_production.py demo/mock_backend.py. (6) streamlit run demo/app.py.","Es la prueba de integración completa antes de la presentación. Debe mostrar: análisis con Gemini funcionando, comparación de los tres modelos T2, descarga del JSON de respuesta.",PENDIENTE — después de Pasos 1-5,Local
Paso 7 (opcional),Levantar con Docker,"docker-compose -f docker/docker-compose.yml up --build. Verificar que API responde en localhost:8000/docs y Streamlit en localhost:8501.","Docker garantiza que el demostrador de la presentación corre igual en cualquier máquina. Si la presentación es en el computador del profesor o en una sala de cómputo, no hay problemas de 'en mi máquina funciona'.",OPCIONAL — recomendado para presentación,docker/
,,,,,
═══ 9. RÚBRICA vs LO QUE CONSTRUIMOS ═══,,,,,
Rúbrica,Dataset T1 — Etiquetado,"Enunciado: 8 etiquetas retóricas, mínimo 250 palabras por fragmento, separación estricta TRAIN/TEST/EVAL sin leakage de doc_id.","Construimos: 17033 fragmentos, 8 etiquetas, 250-999 palabras, 0 leakage verificado. Bugs de desacoplamiento y solapamiento corregidos.",Completado ✓,Dataset_consolidado_v3_LIM2000.csv
Rúbrica,Dataset T2 — Etiquetado binario,"Enunciado: clasificación CONTR vs no-CONTR, EVAL validado por humanos, misma separación de doc_ids.","Construimos: 3125 fragmentos, POS_RELATIVA corregida, 608 EVAL validados por humanos, 0 NaN.",Completado ✓,consolidado_tarea_2.csv
Rúbrica,Experimento A6 — LLM comercial T1,"Enunciado: correr un LLM comercial via API en modo zero-shot sobre el EVAL.","Construimos: notebook con Gemini 2.5 Flash Lite, async pipeline, checkpoint, métricas completas, análisis de errores.",Ejecutado ✓,notebooks/04_a6_api_classification.ipynb
Rúbrica,Experimento A7 — LLM comercial T2,"Enunciado: mismo ejercicio para T2.","Construimos: notebook listo, misma arquitectura que A6, adaptado para clasificación binaria.",Pendiente ejecución ⚠,notebooks/06_task2_gemini_classifier.ipynb
Rúbrica,Encoder fine-tuned,"Enunciado: entrenar un modelo encoder (BERT-family) sobre el dataset anotado.","Construimos: slots en el backend, model_loader con carga lazy, la firma está lista. Falta el artefacto entrenado.",Pendiente entrenamiento ⚠,models/task1_encoder/ + models/task2_encoder/
Rúbrica,Modelo open-weight,"Enunciado: incluir al menos un modelo de código abierto en la comparación.","Construimos: slot _ollama_t1/_ollama_t2 en inference.py. Falta elegir el modelo y configurar .env.",Pendiente decisión ⚠,api/inference.py + .env
Rúbrica,Demostrador interactivo,"Enunciado: sistema que permita ingresar texto y visualizar resultados de ambas tareas con comparación de modelos.","Construimos: backend FastAPI + proxy transparente sobre el Streamlit de Sergio. El demostrador ya funciona con mock — el switch a producción es un cp.",Completado con mock — pendiente switch ⚠,demo/ + api/
Rúbrica,Comparación de modelos,"Enunciado: mostrar diferencias entre arquitecturas sobre el mismo input.","Construimos: endpoint /compare que corre los 3 modelos T2 en paralelo sobre la misma segmentación T1. La pestaña 'Comparación' del dashboard lo visualiza.",Completado ✓,api/main.py /compare
Rúbrica,Análisis A8 — costo/latencia,"Enunciado: analizar tradeoffs entre modelos (costo, latencia, calidad).","El notebook A7 registra latencia y costo por request de Gemini. Los ModelInfo en schemas.py tienen latency_ms y relative_cost. El dashboard los muestra en sidebar.",En progreso ⚠,api/schemas.py + notebooks/
,,,,,
═══ 10. DECISIONES PENDIENTES DEL EQUIPO ═══,,,,,
Decisión,¿Cuál encoder T1 gana?,"Después de correr el notebook de entrenamiento comparar: BETO-base vs SciBETO vs mBERT vs RoBERTa-es. Criterio principal: F1 macro en EVAL T1.","No se puede llenar models/task1_encoder/ hasta tener esta decisión. Es el bloqueante más crítico para el demostrador real.",PENDIENTE,notebooks/ de entrenamiento T1
Decisión,¿Cuál encoder T2 gana?,"Misma comparación para T2. Criterion: F1 binaria + ROC-AUC sobre el EVAL de 608 filas.","El encoder T2 compite directamente contra Gemini en la pestaña de comparación del dashboard.",PENDIENTE,notebooks/06_task2_encoders_openweight.ipynb
Decisión,¿Groq o Ollama para open-weight?,"Groq: más fácil (API key, sin GPU), ya usado en el proyecto. Ollama: completamente local, sin costo, pero requiere GPU o paciencia.",Si se elige Groq: cambiar _ollama_t1/_ollama_t2 en inference.py para usar groq-sdk en lugar de httpx a Ollama. Son ~20 líneas de cambio.,PENDIENTE,api/inference.py
